x,y
-1.93005e-07,4.63414e-07
-3.85721e-07,4.76167e-07
-5.78774e-07,4.89059e-07
0.0110033,-0.000948265
0.641012,-0.0111734
0.695837,-0.00667252
0.700228,-0.0108417
0.693915,0.00880726
0.699222,0.0312884
0.716073,0.0457175
0.72894,0.0478149
0.733162,0.0451321
0.733145,0.046141
0.738711,0.0636665
0.759617,0.0783467
0.76853,0.0789537
1.06245,0.0187483
1.66361,-0.128518
2.28695,-0.291884
2.91425,-0.489659
3.50785,-0.680238
4.11687,-0.833409
4.72675,-0.975689
5.36567,-1.02098
5.99568,-1.0931
6.6291,-1.16135
7.23653,-1.26202
7.85119,-1.35356
8.43151,-1.45255
8.81262,-1.51191
8.82017,-1.51372
8.92099,-1.64883
9.28791,-2.16351
9.67024,-2.67036
10.0829,-3.16149
10.5073,-3.6444
10.9387,-4.12836
11.2235,-4.4434
11.2209,-4.44135
11.218,-4.42908
11.3674,-4.99525
11.5223,-5.58667
11.6499,-6.14148
11.7628,-6.72787
11.8596,-7.31361
11.9235,-7.93132
11.9632,-8.55147
11.9919,-9.17163
11.9969,-9.79656
11.9979,-10.4175
11.9523,-11.0067
11.9048,-11.6031
11.8151,-12.1869
11.7222,-12.7446
11.6156,-13.2567
11.6221,-13.2236
11.6218,-13.225
11.4852,-13.8436
11.3458,-14.4504
11.2236,-15.0564
11.1007,-15.6588
10.9719,-16.2617
10.8273,-16.8219
10.681,-17.387
10.5516,-17.9459
10.4226,-18.5024
10.2747,-19.0895
10.1151,-19.6807
10.0095,-20.1283
10.0127,-20.1171
10.0198,-20.1027
10.0432,-20.1012
10.0559,-20.1026
10.0636,-20.1051
10.0634,-20.105
10.0698,-20.1071
10.0576,-20.0949
10.0534,-20.0931
9.77225,-20.1062
9.15474,-20.1498
8.52311,-20.1536
7.89898,-20.1322
7.30773,-20.1025
6.72916,-20.0615
6.17974,-19.9854
5.64977,-19.8902
5.04262,-19.7739
4.59612,-19.6434
4.23578,-19.5132
4.24424,-19.5134
3.63997,-19.5216
3.02512,-19.5221
2.42657,-19.5225
1.80509,-19.4244
1.18321,-19.2902
0.558621,-19.2038
-0.050799,-19.154
-0.641543,-19.0921
-1.2349,-18.9914
-1.94507,-18.8669
-2.5158,-18.7589
-3.12803,-18.7035
-3.74529,-18.6256
-4.35829,-18.5131
-4.97224,-18.4398
-5.58581,-18.3782
-6.18854,-18.3105
